name,lat,lng,time
Neubrandenburg,53.5618868,13.2615857,08:15-20:00
"Neuhaus (Pegnitz)",49.6266426,11.5517052,06:00-22:00
"Neustadt (Holst.)",54.1046206,10.807482,06:30-21:30
"Oldenburg (Holst.)",54.2839704,10.8826682,06:40-21:35
"Ostseebad Binz",54.404978,13.6006496,06:30-21:30
Pasewalk,53.5150049,13.9892981,07:30-20:30
"Plauen Vogtl. ob.Bf",50.5060324,12.1296639,"Mo-Fr 08:00-19:00"
"Prien am Chiemsee",47.8550097,12.3469686,06:00-22:00
Regenstauf,49.12214470000001,12.12542835,06:00-22:00
Remagen,50.5765515,7.229879,06:00-22:00
Rendsburg,54.3024043,9.6707886,"Mo-Fr 08:20-14:00"
"Ribnitz-Damgarten West",54.2391997,12.4370512,08:00-20:30
"Ribnitz-Damgarten Ost",54.2510122,12.4874295,08:00-20:30
Schwandorf,49.3263177,12.1038045,06:30-22:00
Sierksdorf,54.068388,10.7685032,06:10-21:45
Soest,51.578426401645636, 8.104585293027865,"Mo-Fr 09:00-18:00"
Stendal,52.6631611,12.0610038,08:00-18:00
Steinhöring,48.0840136,12.0327149,06:00-22:00
Straubing,48.8774951,12.5742861,06:00-20:00
Sulzbach-Rosenberg,49.49961055,11.739351221238504,06:00-22:00
Timmendorferstrand,53.99433766143079,10.762479312174023,06:20-21:45
Trebgast,50.0652487,11.5522948,06:00-22:00
Traunstein,47.8679644,12.6385432,06:00-22:00
Treuchtlingen,48.961282,10.9082493,06:00-20:30
Unna,51.5390214,7.6922227,"Mo-Fr 00:00-13:00, 14:30-24:00"
Velgast,54.2774286,12.8028195,06:35-21:25
"Waren (Müritz)",53.5217959,12.6805557,"07:40-11:00, 14:45-20:00"
Warnemünde,54.1771273,12.0907438,07:30-20:45
"Wasserburg am Inn",48.061796799999996,12.225615836093354,06:00-22:00
Weiden,49.6704625,12.1539802,06:00-22:00
Wernigerode,52.5946768,11.8548875,07:00-21:00
"Wittlich Hbf",49.9729882,6.9435525,07:00-21:00
Züssow,53.9760702,13.5473967,07:00-21:00
